long,lat,taxi_zone_id
-74.17400027276297,40.69183120640136,1
-73.83129854302193,40.616745291659605,2
-73.8474222323672,40.86447368477528,3
-73.97696825691759,40.72375214158458,4
-74.18848410184934,40.55265928694547,5
-74.07177055895139,40.60032414603448,6
-73.91969431946067,40.761492562163575,7
-73.92308615750748,40.77855865375054,8
-73.78794887777889,40.751035025572136,9
-73.79098635986954,40.678953310115055,10
-74.00748815801178,40.6042728400306,11
-74.0155635125589,40.7029458349845,12
-74.01607915192932,40.71203815707436,13
-74.0298923741878,40.624834923608,14
-73.78597227877698,40.78333304726081,15
-73.77342181890137,40.76273837544225,16
-73.94990503507506,40.691507494880454,17
-73.89018328872031,40.867682456075194,18
-73.7266553752871,40.73548677976315,19
-73.88586748106968,40.85777967544141,20
-73.98353709672219,40.60142943983496,21
-73.99525857986225,40.61221825780542,22
-74.17088688155258,40.60644770102738,23
-73.96547951516966,40.80197049389944,24
-73.98611382213662,40.685633741320444,25
-73.98866123078288,40.63094965524526,26
-73.90690832237601,40.559133279467396,27
-73.80872901637507,40.71159635794482,28
-73.96121676866849,40.5809219719336,29
-73.82192695679403,40.60368744213542,30
-73.87547595053037,40.8577466809157,31
-73.86490099876713,40.864002206023414,32
-73.99525011996626,40.69579822121106,33
-73.97118869233047,40.70085573851691,34
-73.91025783136129,40.66400311792574,35
-73.91771053131578,40.70052219951902,36
-73.92224002165722,40.69499431844194,37
-73.73555427058822,40.694341467231524,38
-73.89973495669393,40.63803713911684,39
-73.99595619089153,40.67919901409691,40
-73.9512920024351,40.80433394979442,41
-73.94077166756269,40.81825786111908,42
-73.96555356545902,40.78247809974769,43
-74.23353354937645,40.52549458176367,44
-73.99815149899044,40.71245931177931,45
-73.7819871461321,40.84908594313956,46
-73.90031590586496,40.84274917609784,47
-73.98984464313301,40.76225275531918,48
-73.9623635381835,40.687967457147245,49
-73.99513522075523,40.766237725041655,50
-73.82826367307182,40.87397305492005,51
-73.99672403175191,40.686651241655866,52
-73.84281349543191,40.780912355791024,53
-74.00291127745285,40.687200747337094,54
-73.98794343407184,40.57696075363754,55
-73.8588452494399,40.7414067748295,56
-73.85358156034265,40.751819366999264,56
-73.82039319252777,40.8414521006823,58
-73.89498588493974,40.8385502885277,59
-73.88590003419151,40.833990477273645,60
-73.93928705867964,40.67446941826625,61
-73.94878853931496,40.666540405785405,62
-73.87817261050247,40.68383976195085,63
-73.73933714992856,40.760615605321355,64
-73.98608600498393,40.69533752946098,65
-73.98570161582273,40.7022589388223,66
-74.01380148744016,40.61961946783494,67
